variant_id,stop_id
786470,481
786470,3526
786470,1743
786470,554
786471,553
786471,1742
786471,3517
786471,480
786472,553
786472,1742
786472,3517
786472,480
786474,3517
786474,480
786475,480
786477,481
786477,3526
786479,1743
786479,554
786493,1239
786493,281
786493,403
786493,3924
786494,3405
786494,3404
786494,3924
786494,2855
786495,281
786495,403
786495,4095
786498,3405
786498,3404
786498,3924
786498,2855
786499,3405
786499,3404
786499,3924
786499,2855
786566,1704
786566,2477
786566,4248
786567,4248
786567,2040
786567,1705
786569,4248
786569,2040
786569,1705
786570,4248
786570,2040
786572,3976
786575,3976
786583,895
786583,3976
786584,992
786584,1705
786586,992
786586,1015
786586,1705
786587,992
786587,1015
786587,1705
786589,2251
786589,895
786589,3976
787364,616
787364,1248
787364,711
787364,2279
787364,3599
787364,3604
787364,3601
787364,3663
787364,1083
787365,1200
787365,3662
787365,3600
787365,3603
787365,3415
787365,2828
787365,1819
787366,616
787366,1248
787366,711
787366,2279
787366,3599
787366,3604
787366,3601
787367,3600
787367,3603
787367,3415
787367,2828
787367,1819
787368,616
787368,1248
787368,711
787368,2279
787368,3599
787368,3604
787369,3617
787369,3603
787369,3415
787369,2828
787369,1819
787370,616
787370,1248
787370,711
787370,2279
787370,3599
787370,3604
787370,3601
787370,3635
787372,616
787372,1248
787372,711
787372,2279
787372,3599
787372,3604
787372,3601
787372,3635
787373,3615
787373,3600
787373,3603
787373,3415
787373,2828
787373,1819
787374,3615
787374,3655
787374,3600
787374,3603
787374,3415
787374,2828
787374,1819
787375,1200
787375,3662
787375,3655
787375,3600
787375,3603
787375,3415
787375,2828
787375,1819
787376,1200
787376,3662
787376,3600
787376,3616
787376,3603
787376,3415
787376,2828
787376,1819
787377,616
787377,1248
787377,711
787377,2279
787377,3599
787377,3604
787377,3616
787377,3601
787378,616
787378,1248
787378,711
787378,2279
787378,3599
787378,3604
787378,3601
787379,616
787379,1248
787379,711
787379,2279
787379,3599
787379,3604
787379,3616
787379,3601
787380,3600
787380,3616
787380,3603
787380,3415
787380,2828
787380,1819
787381,3600
787381,3631
787381,3603
787381,3415
787381,2828
787381,1819
787383,3601
787383,3655
787383,3600
787383,3603
787383,3415
787383,2828
787383,1819
787384,616
787384,1248
787384,711
787384,2279
787384,3599
787384,3604
787384,3632
787384,3621
787384,1092
787385,616
787385,1248
787385,711
787385,2279
787385,3599
787385,3604
787385,3632
787385,3621
787385,1092
787386,616
787386,1248
787386,711
787386,2279
787386,3599
787386,3604
787387,616
787387,1248
787387,711
787387,2279
787387,3599
787387,3604
787387,3601
787387,3655
787387,3600
787388,616
787388,1248
787388,711
787388,2279
787388,3599
787388,3604
787388,3680
787388,3601
787389,616
787389,1248
787389,711
787389,2279
787389,3599
787389,3604
787389,3680
787389,3601
787390,616
787390,1248
787390,711
787390,2279
787390,3599
787390,3604
787390,3632
787391,2279
787391,3599
787391,3604
787391,3632
787392,2279
787392,3599
787392,3604
787393,3680
787393,3617
787393,3603
787393,3415
787393,2828
787393,1819
787394,3689
787394,3736
787394,1093
787394,3617
787394,3603
787394,3415
787394,2828
787394,1819
787395,3617
787395,3603
787395,3415
787395,2828
787395,1819
787396,1093
787396,3617
787396,3603
787396,3415
787396,2828
787396,1819
787397,1093
787397,3617
787397,3603
787397,3415
787397,2828
787397,1819
787398,3617
787398,3616
787398,3603
787398,3415
787398,2828
787398,1819
787399,3689
787399,1093
787399,3617
787399,3603
787399,3415
787401,3617
787401,3603
787401,3415
790335,1704
790335,72
790335,1125
791111,148
791128,1015
791130,1015
791130,1705
791961,3421
791961,2305
791961,3646
791961,3645
791961,3722
791961,3852
791962,3667
791962,1703
791962,3668
791962,1731
791962,3037
791962,3647
791962,2274
791962,3415
791963,3421
791963,2305
791963,3646
791963,3036
791963,1979
791963,3669
791963,1702
791963,3588
791963,3666
791963,3722
791964,2305
791964,3646
791964,3645
791964,3722
791964,3852
791965,3667
791965,3586
791965,1703
791965,3668
791965,1731
791965,3037
791965,3647
791965,2274
791965,3420
791966,3721
791966,3644
791966,1731
791966,3647
791966,2274
791966,3415
791967,3667
791967,3586
791972,1249
791972,27
791973,26
791973,3133
792029,3421
792029,2275
792030,2276
792030,3415
792030,2771
792031,2275
792032,2276
792032,3415
792094,2482
792094,73
792094,1705
792096,148
792096,1705
792097,1704
792098,1705
792098,4201
792099,1704
792099,2251
792099,895
792100,992
792100,1015
792100,1705
792102,1015
792102,1705
792103,1704
792103,149
792104,148
792104,1705
792105,2482
792105,73
792105,3467
792105,2839
792106,2838
792106,3476
792106,74
792106,1025
792107,2482
792107,73
792107,1705
792108,2482
792108,73
792109,2482
792109,73
792109,1705
792111,73
792113,148
792113,1705
792113,4201
792115,148
792115,1705
792116,148
792116,1705
792117,153
792117,148
792117,1705
792118,153
792118,148
792120,153
792120,148
792120,1705
792121,1705
792124,1705
792125,992
792125,1015
792126,992
792126,1015
792126,1705
792127,992
792127,1015
792127,1705
792128,3871
792128,992
792128,1015
792128,1705
792129,3871
792129,992
792129,1015
792130,3871
792130,992
792130,1015
792130,1705
792131,3871
792131,992
792131,1015
792131,1705
792132,1704
792132,2251
792132,895
792132,3870
792133,895
792134,895
792136,1015
792136,1705
792138,148
792139,148
792139,1705
792140,148
792140,1705
792141,153
792141,148
792142,153
792142,148
792142,1705
792144,1704
792144,149
792144,153
792145,83
792145,2482
792145,73
792146,2838
792146,3476
792146,74
792146,1025
792147,2838
792147,3476
792147,74
792147,1025
792149,74
792149,1025
792150,74
792150,1025
792151,74
792151,1025
792152,74
792152,1025
792155,638
792155,3124
792156,3123
792156,636
792157,638
792157,3124
792157,3431
792158,695
792158,3123
792158,636
792159,638
792159,3124
792159,3431
792160,695
792160,3123
792160,636
792808,242
792808,255
792809,256
792809,3806
792809,494
792876,760
792876,1230
792876,2711
792876,3419
792876,2935
792876,2646
792877,2935
792877,2506
792878,760
792878,1230
792878,2711
792878,3419
792878,2935
792881,2935
792881,2506
792881,3422
792881,2013
792882,2506
792882,3422
792882,2013
792883,3422
792883,2013
792884,3422
792884,2013
792884,761
792885,2506
792885,3422
792885,2013
792885,761
792886,760
792886,1230
792886,2711
792886,3419
792886,2646
792894,637
792894,1165
792894,668
792894,2172
792894,675
792894,1074
792895,686
792895,667
792895,636
792896,637
792896,668
792901,686
793489,711
793489,3422
793489,3607
793489,3641
793489,3621
793490,4254
793490,3640
793490,3608
793490,3415
793490,2828
793491,711
793491,3607
793491,3641
793491,3027
793491,3727
793492,3728
793492,3640
793492,3608
793492,3415
793492,2828
793493,728
793493,3244
793493,3720
793493,3657
793493,3669
793493,1702
793493,3709
793493,1081
793493,3064
793493,3717
793493,3674
793494,3716
793494,3065
793494,1082
793494,3670
793494,3658
793494,3720
793494,3415
793495,3420
793495,2782
793495,3640
793495,777
793495,2115
793496,2781
793496,3415
793497,3640
793497,3608
793497,3415
793497,2828
793498,711
793498,3422
793498,3607
793498,3641
793498,3595
793499,711
793499,3422
793499,3607
793500,711
793500,3422
793500,3607
793501,711
793501,3422
793501,3607
793501,3641
793501,3621
793502,3640
793502,3608
793502,3415
793502,2828
793503,3640
793503,3608
793503,3415
793503,2828
793504,3640
793504,3608
793504,3415
793505,1093
793505,4254
793505,3640
793505,3608
793505,3415
793505,2828
793506,3608
793506,3415
793506,2828
793508,3608
793508,3415
793508,2828
793509,711
793509,3607
793509,3641
793509,3027
793510,711
793510,3607
793510,3641
793510,3027
793510,3727
793510,2254
793511,3607
793511,3641
793511,3027
793511,3727
793512,3728
793512,3640
793512,3608
793512,3415
793512,2828
793514,3640
793514,3608
793514,3415
793514,2828
793515,2255
793515,3728
793515,3640
793515,3608
793515,3415
793515,2828
793517,2255
793517,3728
793517,3640
793517,3608
793517,3415
793517,2828
793518,3689
793518,2255
793518,3728
793518,3640
793518,3608
793518,3415
793518,2828
793519,728
793519,3244
793519,3657
793519,3669
793519,1702
793519,3709
793519,1081
793519,3064
793519,3717
793519,3674
793520,3720
793520,3657
793520,3668
